x_pixels,x_angle_deg,x_mm,profile,profile_norm,smoothed,smoothed_norm,gradient
0,-2.7999999999999994,-22.008671739380244,39192.23,0.93880886,38828.17636873244,0.9300883163582216,6.228940540750045
1,-2.7978429403545566,-21.99168973958134,39551.703,0.94741964,38834.40530927319,0.9302375241079038,6.225758341130131
2,-2.795685872771693,-21.974707739782435,39794.51,0.95323586,38840.6278854147,0.930386579405065,6.219393941893941
3,-2.793528797257481,-21.95772573998353,39425.88,0.9444057,38846.84409715698,0.9305354822497054,6.2130295426541124
4,-2.791371713817991,-21.940743740184626,39376.688,0.94322735,38853.05394450001,0.9306842326418245,6.206665143410646
5,-2.7892146224592946,-21.92376174038572,39165.34,0.9381647,38859.2574274438,0.9308328305814226,6.200300744174456
6,-2.787057523187462,-21.906779740586817,39268.883,0.940645,38865.45454598836,0.9309812760685,6.193936344934627
7,-2.7849004160085666,-21.889797740787913,39394.105,0.9436446,38871.64530013367,0.9311295691030561,6.187571945694799
8,-2.782743300928679,-21.872815740989008,39348.566,0.94255376,38877.82968987975,0.9312777096850914,6.181207546454971
9,-2.78058617795387,-21.855833741190104,39098.867,0.93657243,38884.00771522658,0.9314256978146055,6.174843147215142
10,-2.778429047090212,-21.8388517413912,38946.54,0.9329236,38890.17937617418,0.9315735334915988,6.168478747975314
11,-2.7762719083437783,-21.821869741592295,39360.516,0.94284,38896.34467272253,0.9317212167160709,6.162114348735486
12,-2.77411476172064,-21.80488774179339,39101.04,0.93662447,38902.50360487165,0.9318687474880222,6.155749949495657
13,-2.771957607226869,-21.787905741994486,39192.05,0.93880457,38908.65617262152,0.9320161258074522,6.149385550255829
14,-2.7698004448685385,-21.77092374219558,39138.01,0.93751013,38914.80237597216,0.9321633516743615,6.143021151019639
15,-2.7676432746517206,-21.753941742396677,39302.77,0.94145674,38920.94221492356,0.9323104250887497,6.136656751776172
16,-2.7654860965824883,-21.736959742597772,39361.938,0.942874,38927.075689475714,0.9324573460506168,6.130292352536344
17,-2.763328910666914,-21.719977742798868,39043.35,0.93524265,38933.202799628634,0.932604114559963,6.123927953300154
18,-2.7611717169110706,-21.702995742999963,39233.965,0.9398086,38939.323545382314,0.9327507306167881,6.117563554060325
19,-2.759014515321032,-21.68601374320106,39259.258,0.9404144,38945.437926736755,0.9328971942210924,6.111199154820497
20,-2.7568573059028707,-21.669031743402154,38971.203,0.9335144,38951.545943691955,0.9330435053728756,6.104834755577031
21,-2.7547000886626596,-21.65204974360325,38795.902,0.92931527,38957.64759624791,0.9331896640721375,6.098470356337202
22,-2.7525428636064735,-21.635067743804345,38593.613,0.92446965,38963.74288440463,0.9333356703188788,6.092105957101012
23,-2.750385630740385,-21.61808574400544,38772.17,0.9287468,38969.83180816211,0.9334815241130989,6.0857415578611835
24,-2.7482283900704676,-21.601103744206537,38735.582,0.92787033,38975.91436752035,0.933627225454798,6.079377158621355
25,-2.746071141602796,-21.584121744407632,38524.027,0.92280275,38981.990562479354,0.9337727743439762,6.073012759381527
26,-2.743913885343444,-21.567139744608728,38691.105,0.92680496,38988.060393039115,0.9339181707806333,6.0666483601416985
27,-2.7417566212984856,-21.550157744809823,38701.94,0.92706454,38994.12385919964,0.9340634147647694,6.06028396090187
28,-2.7395993494739943,-21.53317574501092,38680.645,0.9265544,39000.18096096092,0.9342085062963845,6.05391956166568
29,-2.737442069876046,-21.516193745212014,39103.164,0.93667537,39006.23169832297,0.9343534453754788,6.0475551624258514
30,-2.735284782510715,-21.49921174541311,39431.086,0.9445304,39012.27607128577,0.934498232002052,6.041190763182385
31,-2.7331274873840745,-21.482229745614205,39384.86,0.9434231,39018.31407984933,0.934642866176104,6.034826363942557
32,-2.7309701845022003,-21.4652477458153,39404.344,0.94388986,39024.345724013656,0.9347873478976351,6.028461964706366
33,-2.7288128738711674,-21.448265746016396,39047.496,0.9353419,39030.371003778746,0.9349316771666454,6.022097565466538
34,-2.7266555554970515,-21.431283746217492,39105.863,0.93674004,39036.38991914459,0.9350758539831344,6.015733166223072
35,-2.7244982293859263,-21.414301746418587,39079.902,0.9361182,39042.40247011119,0.9352198783471024,6.009368766986881
36,-2.7223408955438675,-21.397319746619683,39149.99,0.937797,39048.40865667856,0.9353637502585497,6.003004367747053
37,-2.720183553976952,-21.38033774682078,38742.94,0.92804664,39054.408478846686,0.9355074697174757,5.996639968503587
38,-2.7180262046912533,-21.363355747021874,38798.58,0.92937934,39060.40193661557,0.9356510367238807,5.990275569267396
39,-2.7158688476928488,-21.34637374722297,38816.957,0.9298196,39066.38902998522,0.935794451277765,5.983911170027568
40,-2.7137114829878133,-21.329391747424065,38715.23,0.9273828,39072.369758955625,0.9359377133791279,5.97754677078774
41,-2.711554110582223,-21.31240974762516,38959.137,0.93322533,39078.3441235268,0.93608082302797,5.971182371551549
42,-2.7093967304821542,-21.295427747826256,38958.445,0.9332088,39084.31212369873,0.9362237802242912,5.964817972308083
43,-2.707239342693683,-21.27844574802735,38836.316,0.9302833,39090.27375947141,0.9363665849680912,5.958453573068255
44,-2.7050819472228858,-21.261463748228447,39051.516,0.9354382,39096.229030844865,0.9365092372593703,5.952089173828426
45,-2.70292454407584,-21.244481748429543,39045.54,0.93529505,39102.17793781907,0.9366517370981283,5.945724774588598
46,-2.7007671332586205,-21.22749974863064,38803.98,0.92950875,39108.12048039404,0.9367940844843654,5.939360375352408
47,-2.698609714777305,-21.210517748831734,38914.598,0.93215847,39114.056658569774,0.9369362794180816,5.932995976112579
48,-2.6964522886379707,-21.19353574903283,39015.387,0.93457276,39119.98647234627,0.9370783218992766,5.926631576872751
49,-2.6942948548466936,-21.176553749233925,39022.062,0.9347327,39125.90992172352,0.9372202119279507,5.920267177629285
50,-2.692137413409552,-21.15957174943502,38904.984,0.9319282,39131.827006701526,0.9373619495041037,5.913902778389456
51,-2.6899799643326223,-21.142589749636116,38712.02,0.92730594,39137.7377272803,0.9375035346277357,5.907538379153266
52,-2.6878225076219824,-21.12560774983721,38954.13,0.9331054,39143.64208345983,0.9376449672988468,5.9011739799134375
53,-2.68566504328371,-21.108625750038307,38919.195,0.9322686,39149.540075240126,0.9377862475174369,5.894809580673609
54,-2.6835075713238825,-21.091643750239403,38963.996,0.93334174,39155.43170262118,0.9379273752835059,5.888445181433781
55,-2.6813500917485773,-21.074661750440498,39183.867,0.9386085,39161.31696560299,0.938068350597054,5.8820807821939525
56,-2.6791926045638728,-21.057679750641594,39091.816,0.9364036,39167.19586418557,0.938209173458081,5.875716382954124
57,-2.6770351097758467,-21.04069775084269,39029.695,0.93491554,39173.0683983689,0.9383498438665869,5.869351983714296
58,-2.674877607390578,-21.023715751043785,39068.094,0.9358353,39178.934568152996,0.938490361822572,5.862987584474467
59,-2.672720097414144,-21.00673375124488,39315.56,0.94176304,39184.79437353785,0.938630727326036,5.856623185238277
60,-2.6705625798526236,-20.989751751445976,38920.57,0.9323015,39190.64781452347,0.9387709403769792,5.850258785998449
61,-2.6684050547120957,-20.97276975164707,38607.33,0.92479813,39196.49489110985,0.9389110009754011,5.843894386754982
